#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot,Cases/1M,pop,Deaths/1M,pop,TotalTests,Tests/,1M,pop,Population,Continent,1,Caseevery,X,ppl1,Deathevery,X,ppl1,Testevery,X,ppl,New,Cases/1M,pop,New,Deaths/1M,pop,Active,Cases/1M,pop
1,USA,"81,012,955","987,615","55,215,670","24,809,670","5,421","242,363","2,955","960,060,830","2,872,172","334,262,970",North,America,43380,"74,222"
2,India,"42,975,883","515,386","42,413,566","46,931","8,944","30,636",367,"775,208,471","552,619","1,402,791,333",Asia,"332,7222",33
3,Brazil,"29,144,964","652,936","27,344,949","1,147,079","8,318","135,497","3,036","63,776,166","296,499","215,097,329",South,America,73293,"5,333"
4,France,"23,164,872","139,618","21,836,672","1,188,582","2,484","353,575","2,131","246,629,975","3,764,416","65,516,138",Europe,34690,"18,142"
5,UK,"19,307,014","162,359","18,086,708","1,057,947",268,"281,916","2,371","487,512,832","7,118,532","68,485,019",Europe,44220,"15,448"
6,Russia,"17,081,394","357,601","14,802,351","1,921,442","2,300","116,964","2,449","273,400,000","1,872,095","146,039,580",Europe,94081,"13,157"
7,Germany,"16,144,363","125,299","12,753,700","+228,700","3,265,364","2,494","191,661","1,488","104,701,826","1,242,988","84,233,966",Europe,56721,"38,765"
8,Turkey,"14,425,638","95,811","13,882,425","447,402",975,"168,007","1,116","146,830,957","1,710,057","85,863,211",Asia,68961,"5,211"
9,Italy,"13,109,527","156,201","11,941,805","1,011,521",592,"217,360","2,590","190,499,871","3,158,548","60,312,476",Europe,53860,"16,771"
10,Spain,"11,159,574","100,859","10,174,079","884,636",773,"238,528","2,156","471,036,328","10,068,063","46,785,199",Europe,44640,"18,908"
11,Argentina,"8,949,362","126,901","8,749,376","73,085",961,"195,008","2,765","34,590,190","753,725","45,892,328",South,America,53621,"1,593"
12,Iran,"7,102,159","138,260","6,747,070","216,829","3,428","82,777","1,611","47,884,518","558,106","85,798,298",Asia,126212,"2,527"
13,Netherlands,"6,837,874","21,624","5,052,321","1,763,929",163,"397,584","1,257","21,107,399","1,227,277","17,198,560",Europe,37951,"102,563"
14,Colombia,"6,073,416","139,154","5,903,279","30,983",342,"117,262","2,687","33,400,734","644,880","51,793,727",South,America,93722,598
15,Indonesia,"5,800,253","150,831","5,226,530","422,892","2,771","20,836",542,"87,959,504","315,968","278,381,167",Asia,"481,8463","1,519"
16,Poland,"5,760,498","112,768","5,142,672","505,058",605,"152,487","2,985","34,203,025","905,393","37,776,979",Europe,73351,"13,369"
17,Mexico,"5,575,608","+8,939","320,166",+265,"4,863,376","+9,497","392,066","4,798","42,494","2,440","15,265,608","116,347","131,207,785",North,America,244109,68,2,"2,988"
18,Japan,"5,483,524","+49,416","25,281",+232,"4,849,692","+65,044","608,551","1,321","43,580",201,"40,275,604","320,090","125,826,052",Asia,"234,9773",393,2,"4,836"
19,S.,Korea,"5,212,118","+342,427","9,440",+158,"969,524","4,233,154","1,087","101,515",184,"15,804,065","307,812","51,343,305",Asia,"105,4393","6,669",3,"82,448"
20,Ukraine,"4,879,339","106,739",N/A,N/A,N/A,177,"112,707","2,466","19,521,252","450,916","43,292,397",Europe,94062,"16,506"
21,Vietnam,"4,776,873","40,977","2,789,342","1,946,554","4,258","48,344",415,"80,574,910","815,457","98,809,559",Asia,"212,4111","19,700"
22,South,Africa,"3,686,556","99,625","3,569,441","17,490",546,"60,870","1,645","23,285,855","384,481","60,564,416",Africa,166083,289
